nohup: ignoring input
Epoch~1->42.31502468020116
val:0.2154,Epoch~2->1.7120654178619372
val:0.6251,Epoch~3->0.8150383592128756
val:0.8049000000000001,Epoch~4->0.5234099854310356
val:0.8462000000000001,Epoch~5->0.38946493782997116
val:0.9084000000000001,Epoch~6->0.3092541949510574
val:0.9273,Epoch~7->0.23911579203605654
val:0.9288000000000001,Epoch~8->0.2029345746119818
val:0.9489000000000001,Epoch~9->0.15448036315838481
val:0.9536,Epoch~10->0.12757452524304383
val:0.9704,Epoch~11->0.10902379743655527
val:0.9600000000000001,Epoch~12->0.10461615756005048
val:0.9752000000000001,Epoch~13->0.10056087909787886
val:0.9755,Epoch~14->0.08450294402440395
val:0.9758,Epoch~15->0.07926648193846146
val:0.9754,Epoch~16->0.07080910518169406
val:0.9805,Epoch~17->0.07783652332474789
val:0.9833000000000001,Epoch~18->0.06724923219333094
val:0.9862000000000001,Epoch~19->0.06976976544459657
val:0.9608000000000001,Epoch~20->0.0657909728435178
val:0.9853000000000001,Epoch~21->0.06429301702926557
val:0.9844,Epoch~22->0.05215509058708941
val:0.9856,Epoch~23->0.055470380054165935
val:0.9885,Epoch~24->0.04902420392638695
val:0.9898,Epoch~25->0.04674826535321773
val:0.9912000000000001,Epoch~26->0.040281339105342824
val:0.9871000000000001,Epoch~27->0.0361628855786597
val:0.9913000000000001,Epoch~28->0.038056335280463066
val:0.9754,Epoch~29->0.03395847415861987
val:0.9901000000000001,Epoch~30->0.038659873831334214
val:0.9891000000000001,Epoch~31->0.02230239348638182
val:0.9924000000000001,Epoch~32->0.019070731014401356
val:0.9925,Epoch~33->0.021492699337564394
val:0.9932000000000001,Epoch~34->0.023711110666025586
val:0.9927,Epoch~35->0.025853645752541097
val:0.9917,Epoch~36->0.031689035531319666
val:0.9900000000000001,Epoch~37->0.013117219387794246
val:0.9942000000000001,Epoch~38->0.01440952786041114
val:0.9921000000000001,Epoch~39->0.018199724147329104
val:0.9917,Epoch~40->0.02118970513168411
val:0.9926,Epoch~41->0.02312975232821966
val:0.9907,Epoch~42->0.014785311829900229
val:0.9913000000000001,Epoch~43->0.01653497083598051
val:0.9934000000000001,Epoch~44->0.022504030261797987
val:0.9913000000000001,Epoch~45->0.022965118331151706
val:0.9918,Epoch~46->0.014006131510583992
val:0.9936,Epoch~47->0.019158910319379843
val:0.9935,Epoch~48->0.01993921793466045
val:0.9911000000000001,Epoch~49->0.018467310837407915
val:0.9939,Epoch~50->0.02210300470639776
val:0.9928,Epoch~51->0.014678064372516623
val:0.9943000000000001,Epoch~52->0.01818963001165733
val:0.9931000000000001,Epoch~53->0.01974740584064664
val:0.9914000000000001,Epoch~54->0.012917935821293705
val:0.9949,Epoch~55->0.015141096680097207
val:0.9914000000000001,Epoch~56->0.01538710943562108
val:0.9929,Epoch~57->0.020907268167600485
val:0.9928,Epoch~58->0.008630489615139472
val:0.9921000000000001,Epoch~59->0.023770758624372938
val:0.9941000000000001,Epoch~60->0.010454018164944132
val:0.9908,Epoch~61->0.013489475402019639
val:0.9927,Epoch~62->0.012189882913822657
val:0.9931000000000001,Epoch~63->0.015132699145064302
val:0.9934000000000001,Epoch~64->0.010499057535721909
val:0.9911000000000001,Epoch~65->0.01742429980720675
val:0.993,Epoch~66->0.015975988827794208
val:0.9909,Epoch~67->0.01009161186095734
val:0.9941000000000001,Epoch~68->0.05070484987845489
val:0.9939,Epoch~69->0.004033713804803005
val:0.9948,Epoch~70->0.002803673241006243
val:0.9953000000000001,Epoch~71->0.005090076068095792
val:0.9934000000000001,Epoch~72->0.005220946183425537
val:0.9944000000000001,Epoch~73->0.008533897060325995
val:0.9945,Epoch~74->0.014087954682307462
val:0.9933000000000001,Epoch~75->0.013181902742834798
val:0.9904000000000001,Epoch~76->0.021515350579193113
val:0.9935,Epoch~77->0.0022329624268929045
val:0.9957,Epoch~78->0.0068743282811839805
val:0.9944000000000001,Epoch~79->0.010809102496619316
val:0.9919,Epoch~80->0.008750127994239788
val:0.9942000000000001,Epoch~81->0.005417764079629715
val:0.994,Epoch~82->0.013468767356134415
val:0.9769000000000001,Epoch~83->0.008402032494979719
val:0.9902000000000001,Epoch~84->0.0067318696852257985
val:0.9928,Epoch~85->0.013333487474996936
val:0.9932000000000001,Epoch~86->0.013596925825419832
val:0.9913000000000001,Epoch~87->0.015600949962501954
val:0.9937,Epoch~88->0.0030846273103548785
val:0.9948,Epoch~89->0.0060640193742053745
val:0.9929,Epoch~90->0.010672968540846883
val:0.992,Epoch~91->0.020613148375373685
val:0.9949,Epoch~92->0.0035855631471187737
val:0.9937,Epoch~93->0.006462596807211441
val:0.9929,Epoch~94->0.019197499834603823
val:0.9944000000000001,Epoch~95->0.006136699066537888
val:0.9923000000000001,Epoch~96->0.009439480476294981
val:0.9896,Epoch~97->0.029438212650600523
val:0.9935,Epoch~98->0.003869457315770269
val:0.9947,Epoch~99->0.005135739808623368
val:0.9935,Epoch~100->0.010247308218250688
val:0.9924000000000001,
