nohup: ignoring input
Epoch~1->train_loss:1.1164, val_loss:1.0994, val_accu:0.3667, lr:0.10000000149011612, conflict:0/1=0.0
Epoch~2->train_loss:1.1038, val_loss:1.1072, val_accu:0.3667, lr:0.10091990232467651, conflict:0/2=0.0
Epoch~3->train_loss:1.0995, val_loss:1.1121, val_accu:0.3667, lr:0.10126147419214249, conflict:0/3=0.0
Epoch~4->train_loss:1.0977, val_loss:1.1157, val_accu:0.2, lr:0.10140702873468399, conflict:0/4=0.0
Epoch~5->train_loss:1.0968, val_loss:1.1182, val_accu:0.2, lr:0.10147754848003387, conflict:0/5=0.0
Epoch~6->train_loss:1.0963, val_loss:1.1199, val_accu:0.2, lr:0.10151436924934387, conflict:1/6=0.1667
Epoch~7->train_loss:1.0961, val_loss:1.1209, val_accu:0.2, lr:0.10153521597385406, conflict:1/7=0.1429
Epoch~8->train_loss:1.096, val_loss:1.1215, val_accu:0.2, lr:0.10154843330383301, conflict:2/8=0.25
Epoch~9->train_loss:1.0958, val_loss:1.1219, val_accu:0.2, lr:0.1015574038028717, conflict:2/9=0.2222
Epoch~10->train_loss:1.0958, val_loss:1.1221, val_accu:0.2, lr:0.10156472027301788, conflict:2/10=0.2
Epoch~11->train_loss:1.0957, val_loss:1.1222, val_accu:0.2, lr:0.10157118737697601, conflict:2/11=0.1818
Epoch~12->train_loss:1.0956, val_loss:1.1222, val_accu:0.2, lr:0.10157720744609833, conflict:2/12=0.1667
Epoch~13->train_loss:1.0956, val_loss:1.1223, val_accu:0.2, lr:0.10158296674489975, conflict:2/13=0.1538
Epoch~14->train_loss:1.0955, val_loss:1.1222, val_accu:0.2, lr:0.10158856213092804, conflict:2/14=0.1429
Epoch~15->train_loss:1.0955, val_loss:1.1222, val_accu:0.2, lr:0.10159406810998917, conflict:2/15=0.1333
Epoch~16->train_loss:1.0954, val_loss:1.1221, val_accu:0.2, lr:0.10159953683614731, conflict:2/16=0.125
Epoch~17->train_loss:1.0954, val_loss:1.1221, val_accu:0.2, lr:0.10160499066114426, conflict:2/17=0.1176
