nohup: ignoring input
Epoch~1->train_loss:0.2376, val_loss:0.2155, val_accu:0.926
Epoch~2->train_loss:0.0841, val_loss:0.215, val_accu:0.9283
Epoch~3->train_loss:0.0713, val_loss:0.119, val_accu:0.9635
Epoch~4->train_loss:0.059, val_loss:0.1255, val_accu:0.9588
Epoch~5->train_loss:0.0576, val_loss:0.1155, val_accu:0.9617
Epoch~6->train_loss:0.0505, val_loss:0.2161, val_accu:0.9388
Epoch~7->train_loss:0.048, val_loss:0.0752, val_accu:0.9772
Epoch~8->train_loss:0.0447, val_loss:0.078, val_accu:0.9759
Epoch~9->train_loss:0.0418, val_loss:0.0695, val_accu:0.9781
Epoch~10->train_loss:0.043, val_loss:0.1927, val_accu:0.9167
Epoch~11->train_loss:0.0387, val_loss:0.0641, val_accu:0.9795
Epoch~12->train_loss:0.0376, val_loss:0.0524, val_accu:0.9834
Epoch~13->train_loss:0.0345, val_loss:0.0432, val_accu:0.9864
Epoch~14->train_loss:0.036, val_loss:0.0595, val_accu:0.9817
