nohup: ignoring input
Epoch~1->train_loss:0.6312, val_loss:0.4367, val_accu:0.866, lr:0.0008904946153052151
Epoch~2->train_loss:0.3532, val_loss:0.3734, val_accu:0.8861, lr:-0.0004353404510766268
Epoch~3->train_loss:0.3165, val_loss:0.359, val_accu:0.8874, lr:0.0009340390679426491
Epoch~4->train_loss:0.2831, val_loss:0.3092, val_accu:0.9039, lr:0.0012385078007355332
Epoch~5->train_loss:0.2452, val_loss:0.2798, val_accu:0.9156, lr:0.00031977694015949965
Epoch~6->train_loss:0.2061, val_loss:0.2484, val_accu:0.9271, lr:-0.000624293927103281
Epoch~7->train_loss:0.1911, val_loss:0.2292, val_accu:0.9326, lr:0.00043308816384524107
Epoch~8->train_loss:0.1738, val_loss:0.2352, val_accu:0.9302, lr:9.665027027949691e-05
Epoch~9->train_loss:0.1604, val_loss:0.2129, val_accu:0.9386, lr:0.0010860736947506666
Epoch~10->train_loss:0.1495, val_loss:0.1943, val_accu:0.9415, lr:0.0001804121711757034
Epoch~11->train_loss:0.1409, val_loss:0.1818, val_accu:0.9459, lr:-0.00028237857623025775
Epoch~12->train_loss:0.1317, val_loss:0.1726, val_accu:0.949, lr:0.0005924864090047777
Epoch~13->train_loss:0.1248, val_loss:0.1738, val_accu:0.9479, lr:0.0008000924717634916
Epoch~14->train_loss:0.1172, val_loss:0.1737, val_accu:0.9479, lr:-0.0006691511953249574
Epoch~15->train_loss:0.1109, val_loss:0.1572, val_accu:0.9532, lr:0.0017071799375116825
Epoch~16->train_loss:0.1048, val_loss:0.1719, val_accu:0.9479, lr:0.0011178433196619153
Epoch~17->train_loss:0.102, val_loss:0.1555, val_accu:0.9548, lr:0.0010477628093212843
Epoch~18->train_loss:0.0975, val_loss:0.136, val_accu:0.9607, lr:0.00023275581770576537
Epoch~19->train_loss:0.0942, val_loss:0.1537, val_accu:0.9546, lr:0.0006577933090738952
Epoch~20->train_loss:0.0917, val_loss:0.128, val_accu:0.9625, lr:0.00038426549872383475
Epoch~21->train_loss:0.0892, val_loss:0.1415, val_accu:0.9556, lr:0.0006919203442521393
Epoch~22->train_loss:0.0885, val_loss:0.1358, val_accu:0.9601, lr:0.0012330797035247087
Epoch~23->train_loss:0.0831, val_loss:0.1327, val_accu:0.9607, lr:-0.00012717365461867303
Epoch~24->train_loss:0.081, val_loss:0.1306, val_accu:0.9604, lr:0.000367053784430027
Epoch~25->train_loss:0.0784, val_loss:0.1261, val_accu:0.9632, lr:0.0004939540522173047
Epoch~26->train_loss:0.0782, val_loss:0.1177, val_accu:0.9658, lr:0.0005882768309675157
Epoch~27->train_loss:0.0757, val_loss:0.1324, val_accu:0.9605, lr:0.0013075529132038355
Epoch~28->train_loss:0.0729, val_loss:0.1694, val_accu:0.9467, lr:0.0016127771232277155
Epoch~29->train_loss:0.0718, val_loss:0.1186, val_accu:0.9641, lr:-1.263630110770464e-05
Epoch~30->train_loss:0.0689, val_loss:0.173, val_accu:0.9429, lr:0.001523167360574007
Epoch~31->train_loss:0.0666, val_loss:0.1292, val_accu:0.959, lr:0.00013433757703751326
Epoch~32->train_loss:0.0659, val_loss:0.1277, val_accu:0.9602, lr:0.00038740079617127776
Epoch~33->train_loss:0.0635, val_loss:0.1266, val_accu:0.9606, lr:0.00029098126105964184
Epoch~34->train_loss:0.0627, val_loss:0.1214, val_accu:0.9631, lr:0.0005502526182681322
Epoch~35->train_loss:0.0622, val_loss:0.1282, val_accu:0.96, lr:-0.0002837982610799372
Epoch~36->train_loss:0.0604, val_loss:0.1058, val_accu:0.967, lr:0.0010264181764796376
Epoch~37->train_loss:0.0596, val_loss:0.1104, val_accu:0.9668, lr:0.0008644366171211004
Epoch~38->train_loss:0.0567, val_loss:0.1181, val_accu:0.9636, lr:0.0016848316881805658
Epoch~39->train_loss:0.0551, val_loss:0.1194, val_accu:0.963, lr:-0.0001936918415594846
Epoch~40->train_loss:0.0553, val_loss:0.1194, val_accu:0.9634, lr:0.0005184141919016838
Epoch~41->train_loss:0.0548, val_loss:0.2132, val_accu:0.9293, lr:0.0016668535536155105
Epoch~42->train_loss:0.0539, val_loss:0.1067, val_accu:0.9675, lr:0.0005680251051671803
Epoch~43->train_loss:0.0516, val_loss:0.1123, val_accu:0.9657, lr:0.0010580150410532951
Epoch~44->train_loss:0.0513, val_loss:0.1073, val_accu:0.9669, lr:0.00023915120982564986
Epoch~45->train_loss:0.0495, val_loss:0.1197, val_accu:0.9629, lr:0.001988067990168929
Epoch~46->train_loss:0.0521, val_loss:0.1152, val_accu:0.9639, lr:-3.778153768507764e-05
Epoch~47->train_loss:0.0497, val_loss:0.1037, val_accu:0.9674, lr:0.0006965043139643967
Epoch~48->train_loss:0.0478, val_loss:0.1121, val_accu:0.9649, lr:0.001294499495998025
Epoch~49->train_loss:0.0484, val_loss:0.1098, val_accu:0.9647, lr:0.00033201760379597545
Epoch~50->train_loss:0.0465, val_loss:0.1016, val_accu:0.9683, lr:0.0007706801407039165
Epoch~51->train_loss:0.0467, val_loss:0.1119, val_accu:0.9646, lr:0.0006469180225394666
Epoch~52->train_loss:0.0466, val_loss:0.1024, val_accu:0.9676, lr:0.0008644904009997845
Epoch~53->train_loss:0.0463, val_loss:0.1185, val_accu:0.9616, lr:-0.00020990014309063554
Epoch~54->train_loss:0.0451, val_loss:0.1211, val_accu:0.9618, lr:-0.00020111704361625016
Epoch~55->train_loss:0.0455, val_loss:0.1253, val_accu:0.9599, lr:-0.00022355512192007154
Epoch~56->train_loss:0.0431, val_loss:0.1108, val_accu:0.9646, lr:6.81766468915157e-05
Epoch~57->train_loss:0.0431, val_loss:0.1221, val_accu:0.9626, lr:-0.00034029368543997407
Epoch~58->train_loss:0.0429, val_loss:0.1211, val_accu:0.9615, lr:0.0007129653240554035
Epoch~59->train_loss:0.0431, val_loss:0.1134, val_accu:0.9635, lr:0.000447821308625862
Epoch~60->train_loss:0.0436, val_loss:0.1318, val_accu:0.9589, lr:0.0011864519910886884
Epoch~61->train_loss:0.0416, val_loss:0.1089, val_accu:0.9647, lr:0.000933959090616554
Epoch~62->train_loss:0.042, val_loss:0.1128, val_accu:0.9636, lr:0.00039193424163386226
Epoch~63->train_loss:0.0411, val_loss:0.1031, val_accu:0.9662, lr:0.0013645404251292348
Epoch~64->train_loss:0.0408, val_loss:0.1099, val_accu:0.9639, lr:0.0021459038835018873
Epoch~65->train_loss:0.0409, val_loss:0.1207, val_accu:0.961, lr:0.0009220090578310192
Epoch~66->train_loss:0.0396, val_loss:0.1159, val_accu:0.9627, lr:0.00038684881292283535
Epoch~67->train_loss:0.0398, val_loss:0.0995, val_accu:0.968, lr:0.0007782704196870327
Epoch~68->train_loss:0.04, val_loss:0.1056, val_accu:0.9668, lr:0.0004821119364351034
Epoch~69->train_loss:0.0378, val_loss:0.1004, val_accu:0.9685, lr:7.073219603626058e-05
Epoch~70->train_loss:0.0382, val_loss:0.0928, val_accu:0.9698, lr:0.0008214950794354081
Epoch~71->train_loss:0.0379, val_loss:0.115, val_accu:0.9629, lr:0.000562004279345274
Epoch~72->train_loss:0.0379, val_loss:0.1036, val_accu:0.967, lr:0.0001983129041036591
Epoch~73->train_loss:0.0372, val_loss:0.1393, val_accu:0.9545, lr:-0.00024116756685543805
Epoch~74->train_loss:0.0378, val_loss:0.0996, val_accu:0.968, lr:0.0006002809386700392
Epoch~75->train_loss:0.0361, val_loss:0.1016, val_accu:0.9664, lr:0.0009530267561785877
Epoch~76->train_loss:0.0452, val_loss:0.1051, val_accu:0.9654, lr:-0.0005267123924568295
Epoch~77->train_loss:0.048, val_loss:0.1208, val_accu:0.9597, lr:0.0007385349599644542
Epoch~78->train_loss:0.0434, val_loss:0.1234, val_accu:0.9602, lr:-0.00034926843363791704
Epoch~79->train_loss:0.0427, val_loss:0.1169, val_accu:0.9629, lr:0.001098797656595707
Epoch~80->train_loss:0.0402, val_loss:0.1069, val_accu:0.9653, lr:0.0005079520051367581
Epoch~81->train_loss:0.039, val_loss:0.1033, val_accu:0.9667, lr:-0.00011013745825039223
Epoch~82->train_loss:0.0398, val_loss:0.1141, val_accu:0.963, lr:0.0007197660161182284
Epoch~83->train_loss:0.0373, val_loss:0.0945, val_accu:0.9695, lr:0.0008437791839241982
Epoch~84->train_loss:0.0379, val_loss:0.1028, val_accu:0.9676, lr:0.0004509499412961304
Epoch~85->train_loss:0.037, val_loss:0.1607, val_accu:0.9444, lr:0.0014256422873586416
Epoch~86->train_loss:0.0362, val_loss:0.1225, val_accu:0.9603, lr:0.001067513832822442
Epoch~87->train_loss:0.0349, val_loss:0.093, val_accu:0.9707, lr:0.0010767420753836632
Epoch~88->train_loss:0.0331, val_loss:0.1008, val_accu:0.9676, lr:0.000434302695794031
Epoch~89->train_loss:0.0335, val_loss:0.0951, val_accu:0.9699, lr:-0.0002342380175832659
Epoch~90->train_loss:0.0343, val_loss:0.102, val_accu:0.9672, lr:0.00016926358512137085
Epoch~91->train_loss:0.0336, val_loss:0.1145, val_accu:0.9622, lr:-0.0001959443325176835
Epoch~92->train_loss:0.0329, val_loss:0.0967, val_accu:0.9691, lr:0.0005407477729022503
Epoch~93->train_loss:0.0326, val_loss:0.102, val_accu:0.9679, lr:0.0002107862674165517
Epoch~94->train_loss:0.0319, val_loss:0.102, val_accu:0.9672, lr:1.6319499991368502e-06
Epoch~95->train_loss:0.0332, val_loss:0.1178, val_accu:0.9608, lr:0.0016085654497146606
Epoch~96->train_loss:0.0318, val_loss:0.0887, val_accu:0.9717, lr:0.0006765631842426956
Epoch~97->train_loss:0.0323, val_loss:0.1034, val_accu:0.9672, lr:0.000543558388017118
Epoch~98->train_loss:0.032, val_loss:0.0882, val_accu:0.9719, lr:-0.0005102269933559
Epoch~99->train_loss:0.031, val_loss:0.092, val_accu:0.9698, lr:0.0013404698111116886
Epoch~100->train_loss:0.0314, val_loss:0.0971, val_accu:0.967, lr:0.0006048151408322155
Epoch~101->train_loss:0.0319, val_loss:0.0975, val_accu:0.9687, lr:0.0005690310499630868
Epoch~102->train_loss:0.0319, val_loss:0.0946, val_accu:0.9689, lr:0.00019451630942057818
Epoch~103->train_loss:0.0316, val_loss:0.096, val_accu:0.9698, lr:0.0007390724495053291
Epoch~104->train_loss:0.0299, val_loss:0.0935, val_accu:0.9702, lr:-2.0058603695360944e-05
Epoch~105->train_loss:0.0303, val_loss:0.1, val_accu:0.9696, lr:0.0007809293456375599
Epoch~106->train_loss:0.0295, val_loss:0.0922, val_accu:0.9702, lr:0.000718285096809268
Epoch~107->train_loss:0.0295, val_loss:0.0796, val_accu:0.9739, lr:0.0004963105311617255
Epoch~108->train_loss:0.0283, val_loss:0.0954, val_accu:0.969, lr:0.0004589411255437881
Epoch~109->train_loss:0.0284, val_loss:0.0921, val_accu:0.9694, lr:0.0006497862050309777
